raw_url,normalised_url,source_export,gsc_issue,last_crawled,current_status,redirect_chain,final_url,final_status,declared_canonical,in_sitemap,current_route_exists,classification,recommended_action,priority,evidence,notes
"https://travel.mitchchadban.com/the-douro-valley-—-a-day-among-the-terraced-vines","travel.mitchchadban.com/the-douro-valley-a-day-among-the-terraced-vines","Coverage-Validation","Crawled - currently not indexed","2026-06-20","404","404","https://travel.mitchchadban.com/the-douro-valley-%E2%80%94-a-day-among-the-terraced-vines","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/7-days-in-barcelona-gaudí's-unfinished-argument","travel.mitchchadban.com/7-days-in-barcelona-gaud-s-unfinished-argument","Coverage-Validation","Crawled - currently not indexed","2026-06-20","404","404","https://travel.mitchchadban.com/7-days-in-barcelona-gaud%C3%AD's-unfinished-argument","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/2-days-in-évora-bones-roman-stones","travel.mitchchadban.com/2-days-in-vora-bones-roman-stones","Coverage-Validation","Crawled - currently not indexed","2026-06-20","404","404","https://travel.mitchchadban.com/2-days-in-%C3%A9vora-bones-roman-stones","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/coming-soon","travel.mitchchadban.com/coming-soon","Coverage-Validation","Crawled - currently not indexed","2026-06-19","200","200","https://travel.mitchchadban.com/coming-soon","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/italy,-morocco-seville-4-week-itinerary","travel.mitchchadban.com/italy-morocco-seville-4-week-itinerary","Coverage-Validation","Crawled - currently not indexed","2026-06-19","404","404","https://travel.mitchchadban.com/italy,-morocco-seville-4-week-itinerary","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://mitchchadban.com/MonoDuo","mitchchadban.com/monoduo","Coverage-Validation","Crawled - currently not indexed","2026-06-18","308","308>404 -> https://mitchchadban.com/MonoDuo/","https://mitchchadban.com/MonoDuo/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /MonoDuo → /monoduo/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/monoduo/). impr=4, pos=7.5. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://travel.mitchchadban.com/1-day-in-santiago-de-compostela","travel.mitchchadban.com/1-day-in-santiago-de-compostela","Coverage-Validation","Crawled - currently not indexed","2026-06-16","200","200","https://travel.mitchchadban.com/1-day-in-santiago-de-compostela","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/5-days-in-lisbon-itinerary","travel.mitchchadban.com/5-days-in-lisbon-itinerary","Coverage-Validation","Crawled - currently not indexed","2026-06-16","200","200","https://travel.mitchchadban.com/5-days-in-lisbon-itinerary","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/1-day-in-colònia-güell","travel.mitchchadban.com/1-day-in-col-nia-g-ell","Coverage-Validation","Crawled - currently not indexed","2026-06-16","404","404","https://travel.mitchchadban.com/1-day-in-col%C3%B2nia-g%C3%BCell","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road","travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road","Coverage-Validation","Crawled - currently not indexed","2026-06-16","200","200","https://travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/by-region","travel.mitchchadban.com/by-region","Coverage-Validation","Crawled - currently not indexed","2026-06-16","200","200","https://travel.mitchchadban.com/by-region","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/2-days-in-cáceres-a-medieval-city-held-in-amber","travel.mitchchadban.com/2-days-in-c-ceres-a-medieval-city-held-in-amber","Coverage-Validation","Crawled - currently not indexed","2026-06-14","404","404","https://travel.mitchchadban.com/2-days-in-c%C3%A1ceres-a-medieval-city-held-in-amber","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/1-day-in-cádiz-—-at-the-edge-of-the-known-world","travel.mitchchadban.com/1-day-in-c-diz-at-the-edge-of-the-known-world","Coverage-Validation","Crawled - currently not indexed","2026-06-14","404","404","https://travel.mitchchadban.com/1-day-in-c%C3%A1diz-%E2%80%94-at-the-edge-of-the-known-world","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/3-days-in-madrid-the-capital-at-full-volume","travel.mitchchadban.com/3-days-in-madrid-the-capital-at-full-volume","Coverage-Validation","Crawled - currently not indexed","2026-06-07","200","200","https://travel.mitchchadban.com/3-days-in-madrid-the-capital-at-full-volume","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/1-day-in-santiago-de-compostela-—-the-end-of-the-pilgrim-road","travel.mitchchadban.com/1-day-in-santiago-de-compostela-the-end-of-the-pilgrim-road","Coverage-Validation","Crawled - currently not indexed","2026-06-05","404","404","https://travel.mitchchadban.com/1-day-in-santiago-de-compostela-%E2%80%94-the-end-of-the-pilgrim-road","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/1-day-in-colònia-güell-gaudí's-forgotten-blueprint","travel.mitchchadban.com/1-day-in-col-nia-g-ell-gaud-s-forgotten-blueprint","Coverage-Validation","Crawled - currently not indexed","2026-06-05","404","404","https://travel.mitchchadban.com/1-day-in-col%C3%B2nia-g%C3%BCell-gaud%C3%AD's-forgotten-blueprint","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/1-day-in-figueres-girona-a-day-inside-dalí's-mind","travel.mitchchadban.com/1-day-in-figueres-girona-a-day-inside-dal-s-mind","Coverage-Validation","Crawled - currently not indexed","2026-06-04","404","404","https://travel.mitchchadban.com/1-day-in-figueres-girona-a-day-inside-dal%C3%AD's-mind","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/about-the-traveller","travel.mitchchadban.com/about-the-traveller","Coverage-Validation","Crawled - currently not indexed","2026-06-04","200","200","https://travel.mitchchadban.com/about-the-traveller","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/10-days-in-sevilla-andalucía-without-rush","travel.mitchchadban.com/10-days-in-sevilla-andaluc-a-without-rush","Coverage-Validation","Crawled - currently not indexed","2026-06-04","404","404","https://travel.mitchchadban.com/10-days-in-sevilla-andaluc%C3%ADa-without-rush","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road-the-complete-circuit","travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road-the-complete-circuit","Coverage-Validation","Crawled - currently not indexed","2026-06-03","404","404","https://travel.mitchchadban.com/4-weeks-portugal-to-spain-by-rail-road-the-complete-circuit","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/4-days-in-lagos-the-coast-of-golden-cliffs","travel.mitchchadban.com/4-days-in-lagos-the-coast-of-golden-cliffs","Coverage-Validation","Crawled - currently not indexed","2026-06-03","200","200","https://travel.mitchchadban.com/4-days-in-lagos-the-coast-of-golden-cliffs","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/menu_web","travel.mitchchadban.com/menu-web","Coverage-Validation","Crawled - currently not indexed","2026-06-03","404","404","https://travel.mitchchadban.com/menu_web","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/the-imperial-circuit-morocco-in-14-days","travel.mitchchadban.com/the-imperial-circuit-morocco-in-14-days","Coverage-Validation","Crawled - currently not indexed","2026-06-02","200","200","https://travel.mitchchadban.com/the-imperial-circuit-morocco-in-14-days","200","","no","yes","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=200; chain=200. Out of main-site scope.",""
"https://travel.mitchchadban.com/menu_mobile","travel.mitchchadban.com/menu-mobile","Coverage-Validation","Crawled - currently not indexed","2026-06-02","404","404","https://travel.mitchchadban.com/menu_mobile","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://mitchchadban.com/Growth-Marketing-Strategy-for-SaaS","mitchchadban.com/growth-marketing-strategy-for-saas","Coverage-Validation","Crawled - currently not indexed","2026-05-23","308","308>404 -> https://mitchchadban.com/Growth-Marketing-Strategy-for-SaaS/","https://mitchchadban.com/Growth-Marketing-Strategy-for-SaaS/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /Growth-Marketing-Strategy-for-SaaS → /growth-marketing-strategy-for-saas/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/growth-marketing-strategy-for-saas/). impr=2, pos=5. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://mitchchadban.com/SEO-for-SaaS-Startups","mitchchadban.com/seo-for-saas-startups","Coverage-Validation","Crawled - currently not indexed","2026-05-23","308","308>404 -> https://mitchchadban.com/SEO-for-SaaS-Startups/","https://mitchchadban.com/SEO-for-SaaS-Startups/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /SEO-for-SaaS-Startups → /seo-for-saas-startups/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/seo-for-saas-startups/). impr=2, pos=3.5. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://travel.mitchchadban.com/san-marino-upon-the-rock-of-the-oldest-republic","travel.mitchchadban.com/san-marino-upon-the-rock-of-the-oldest-republic","Coverage-Validation","Crawled - currently not indexed","2026-05-22","404","404","https://travel.mitchchadban.com/san-marino-upon-the-rock-of-the-oldest-republic","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/bologna-the-fat-city's-table-1","travel.mitchchadban.com/bologna-the-fat-city-s-table-1","Coverage-Validation","Crawled - currently not indexed","2026-05-22","404","404","https://travel.mitchchadban.com/bologna-the-fat-city's-table-1","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://mitchchadban.com/Graphic-Designer-for-Modern-Brands","mitchchadban.com/graphic-designer-for-modern-brands","Coverage-Validation","Crawled - currently not indexed","2026-05-16","308","308>308>200 -> https://mitchchadban.com/graphic-designer-for-modern-brands/","https://mitchchadban.com/graphic-designer-for-modern-brands/","200","https://mitchchadban.com/graphic-designer-for-modern-brands/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>308>200 → https://mitchchadban.com/graphic-designer-for-modern-brands/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://travel.mitchchadban.com/fez-into-the-labyrinth-of-the-eternal-city","travel.mitchchadban.com/fez-into-the-labyrinth-of-the-eternal-city","Coverage-Validation","Crawled - currently not indexed","2026-05-15","404","404","https://travel.mitchchadban.com/fez-into-the-labyrinth-of-the-eternal-city","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/cádiz-—-at-the-edgeof-the-known-world","travel.mitchchadban.com/c-diz-at-the-edgeof-the-known-world","Coverage-Validation","Crawled - currently not indexed","2026-05-15","404","404","https://travel.mitchchadban.com/c%C3%A1diz-%E2%80%94-at-the-edgeof-the-known-world","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://travel.mitchchadban.com/articles","travel.mitchchadban.com/articles","Coverage-Validation","Crawled - currently not indexed","2026-05-15","404","404","https://travel.mitchchadban.com/articles","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://mitchchadban.com/Blogs-Resources","mitchchadban.com/blogs-resources","Coverage-Validation","Crawled - currently not indexed","2026-05-14","308","308>404 -> https://mitchchadban.com/Blogs-Resources/","https://mitchchadban.com/Blogs-Resources/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /Blogs-Resources → /blogs-resources/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/blogs-resources/). impr=16, pos=5.31. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://travel.mitchchadban.com/andalucía-without-rush","travel.mitchchadban.com/andaluc-a-without-rush","Coverage-Validation","Crawled - currently not indexed","2026-05-11","404","404","https://travel.mitchchadban.com/andaluc%C3%ADa-without-rush","404","","no","no","Travel-subdomain issue","No action this sprint — belongs to travel.mitchchadban.com (separate project).","Ignore/monitor","Host=travel subdomain; live=404; chain=404. Out of main-site scope.",""
"https://mitchchadban.com/Biggs","mitchchadban.com/biggs","Coverage-Validation","Crawled - currently not indexed","2026-04-12","308","308>308>200 -> https://mitchchadban.com/biggs/","https://mitchchadban.com/biggs/","200","https://mitchchadban.com/biggs/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>308>200 → https://mitchchadban.com/biggs/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/Best-Ways-to-Build-E-E-A-T-in-2026","mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026","Coverage-Validation","Crawled - currently not indexed","2026-04-08","308","308>308>200 -> https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","200","https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>308>200 → https://mitchchadban.com/best-ways-to-build-e-e-a-t-in-2026/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/?fbclid=IwAR1wImVhEcDURXFZmSw_cDb7tS5ialbHyQ91BH8VOV6-ysi5zmsHxnWdWHk","mitchchadban.com/","Coverage-Validation","Crawled - currently not indexed","2026-02-13","200","200","https://mitchchadban.com/?fbclid=IwAR1wImVhEcDURXFZmSw_cDb7tS5ialbHyQ91BH8VOV6-ysi5zmsHxnWdWHk","200","https://mitchchadban.com/","no","yes","Current live page with stale GSC status","No code change. Monitor re-indexing; strengthen internal links / content if it stays out (see quick-wins).","P2","Live 200, self, in sitemap. GSC status ""Crawled - currently not indexed"" reflects pre-fix crawl or low authority. impr=0, pos=.","Crawled-not-indexed on a live indexable page = low authority/thin or stale crawl, not a config defect."
"https://mitchchadban.com/pricing-and-packages","mitchchadban.com/pricing-and-packages","Coverage-Validation","Crawled - currently not indexed","2026-07-10","308","308>200 -> https://mitchchadban.com/pricing-and-packages/","https://mitchchadban.com/pricing-and-packages/","200","https://mitchchadban.com/pricing-and-packages/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>200 → https://mitchchadban.com/pricing-and-packages/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/blogs-resources","mitchchadban.com/blogs-resources","Coverage-Validation","Crawled - currently not indexed","2026-07-05","308","308>200 -> https://mitchchadban.com/blogs-resources/","https://mitchchadban.com/blogs-resources/","200","https://mitchchadban.com/blogs-resources/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>200 → https://mitchchadban.com/blogs-resources/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/Custom-Pet-Portraits-Digital-Print","mitchchadban.com/custom-pet-portraits-digital-print","Coverage-Validation (1)","Not found (404)","2026-07-02","308","308>308>200 -> https://mitchchadban.com/custom-pet-portraits-digital-and-print/","https://mitchchadban.com/custom-pet-portraits-digital-and-print/","200","https://mitchchadban.com/custom-pet-portraits-digital-and-print/","yes","yes","Current live page with stale GSC status","None — legacy/variant URL now 301/308-redirects to the live canonical. Authority consolidates.","Ignore/monitor","chain=308>308>200 → https://mitchchadban.com/custom-pet-portraits-digital-and-print/ (in sitemap). Redirect reaches canonical. impr=0.",""
"https://mitchchadban.com/Social-Media-Design-That-Doesnt-Look-Like-Everyone-Else","mitchchadban.com/social-media-design-that-doesnt-look-like-everyone-else","Coverage-Validation (1)","Not found (404)","2026-07-02","308","308>404 -> https://mitchchadban.com/Social-Media-Design-That-Doesnt-Look-Like-Everyone-Else/","https://mitchchadban.com/Social-Media-Design-That-Doesnt-Look-Like-Everyone-Else/","404","","no","no","Legacy URL missing a redirect","Add 301 redirect: /Social-Media-Design-That-Doesnt-Look-Like-Everyone-Else → /social-media-design-that-doesnt-look-like-everyone-else/ (also add slash + non-slash source variants).","P2","chain=308>404 (404). Clear current equivalent exists (/social-media-design-that-doesnt-look-like-everyone-else/). impr=0, pos=. No redirect rule matches this variant.","Capitalised/legacy title-case variant: no case-insensitive redirect rule; Vercel paths are case-sensitive."
"https://mitchchadban.com/custom-pet-portraits/","mitchchadban.com/custom-pet-portraits","Coverage-Validation (1)","Not found (404)","2026-06-30","404","404","https://mitchchadban.com/custom-pet-portraits/","404","","no","no","Intentional retired URL","None — Cargo-era utility/artifact page with no current equivalent and no meaningful search value.","Ignore/monitor","chain=404 (404). No current equivalent. impr=0. Retired artifact.",""
"https://mitchchadban.com/diseño-gráfico-para-empresas-(limpio,-premium-y-listo-para-usar)/","mitchchadban.com/dise-o-gr-fico-para-empresas-limpio-premium-y-listo-para-usar","Coverage-Validation (1)","Not found (404)","2026-06-30","404","404","https://mitchchadban.com/dise%C3%B1o-gr%C3%A1fico-para-empresas-(limpio,-premium-y-listo-para-usar)/","404","","no","no","Intentional retired URL","None — Cargo-era utility/artifact page with no current equivalent and no meaningful search value.","Ignore/monitor","chain=404 (404). No current equivalent. impr=0. Retired artifact.",""
"https://mitchchadban.com/growth-marketing-para-saas-y-startups-(estrategia- 
-ejecución)/","mitchchadban.com/growth-marketing-para-saas-y-startups-estrategia-ejecuci-n","Coverage-Validation (1)","Not found (404)","2026-06-30","404","404","https://mitchchadban.com/growth-marketing-para-saas-y-startups-(estrategia-%20-ejecuci%C3%B3n)/","404","","no","no","Intentional retired URL","None — Cargo-era utility/artifact page with no current equivalent and no meaningful search value.","Ignore/monitor","chain=404 (404). No current equivalent. impr=0. Retired artifact.",""
